brand,type,model,payload,operating weight,struck,heaped 2:1
Komatsu,Articulated,HM400-5,40,75.14,18.2,24
Komatsu,Articulated,HM300-5,28,53.5,12.4,17.1
Komatsu,Rigid,HD1500-8,141.7,249.6,50,78
Komatsu,Rigid,HD785-7,91.7,163.8,40,60
Komatsu,Rigid,HD605-10,64.1,114.4,29,40
Komatsu,Rigid,HD405-8,40,77.4,20,24
CAT,Articulated,745,41,74.1,19.9,25.5
CAT,Articulated,740GC,36.3,69.2,17,22.7
CAT,Articulated,735,32,57.2,15.5,20
CAT,Articulated,730,28,51.9,13.3,17.5
CAT,Articulated,730EJ,27.1,53.3,13.5,16.9
CAT,Articulated,725,24,47.1,11,15
CAT,Rigid,777 (05),98.2,163.4,43.1,64.1
CAT,Rigid,777 (07),91.7,164.7,41.9,60.1
CAT,Rigid,775 (07),64.6,111.8,32.6,42.2
CAT,Rigid,773 (07),56,102.7,26.9,35.8
CAT,Rigid,772 (07),46.8,82.1,23.9,32.1
CAT,Rigid,770 (07),38.6,71.2,17.6,25.2
Volvo,Articulated,A60H,55,98.4,25.8,33.6
Volvo,Articulated,A45GFS,41,71.4,19.7,25.1
Volvo,Articulated,A45G,41,71,19.7,25.1
Volvo,Articulated,A40G,39,68.8,18.4,24
Volvo,Articulated,A35G,34.5,63.5,16.6,21.2
Volvo,Articulated,A30G,29,52.2,13.9,17.8
Volvo,Articulated,A25G,25,47.4,12.1,15.3
Volvo,Rigid,R100,95,164.8,41.1,60.4
Volvo,Rigid,R70D,65,112.7,29,41.5
Volvo,Rigid,R60,55,99.8,25,36
BELL,Articulated,60E 4x4,55,97.5,27,35
BELL,Articulated,B50E,45.4,81.1,21.5,27.5
BELL,Articulated,B45E,41,76.5,19.5,25
BELL,Articulated,B40E,39,73.6,19,24
BELL,Articulated,B30E,28,50.9,13.5,17.5
BELL,Articulated,B25E,24,44.7,11.5,15
BELL,Rigid,EH5000AC-3,296,500,148,202
BELL,Rigid,EH4000AC-3,221,384,106,154
BELL,Rigid,EH3500-AC-3,181,322,80.4,117
LIEBHERR,Rigid,T284,363,605,Custom,Custom
LIEBHERR,Rigid,T274,305,528,Custom,Custom
LIEBHERR,Rigid,T264,240,416,Custom,Custom
