make,model,boom_length,arm_length,CWT,shoe_width,reach,swl,class
Komatsu,PC450,7.06,3.38,9220,600,3,21700,50
Komatsu,PC450,7.06,3.38,9220,600,4.5,12600,50
Komatsu,PC450,7.06,3.38,9220,600,6,9450,50
Komatsu,PC450,7.06,3.38,9220,600,7.5,6550,50
Komatsu,PC450,7.06,3.38,9220,600,9,4850,50
Komatsu,PC450,7.06,3.38,9220,600,Max,3900,50
Komatsu,PC490,7,3.4,9220,600,3,9950,50
Komatsu,PC490,7,3.4,9220,600,4.5,12500,50
Komatsu,PC490,7,3.4,9220,600,6,9300,50
Komatsu,PC490,7,3.4,9220,600,7.5,8100,50
Komatsu,PC490,7,3.4,9220,600,9,6050,50
Komatsu,PC490,7,3.4,9220,600,Max,4950,50
Komatsu,PC700,6.6,2.9,9350,610,3,25800,70
Komatsu,PC700,6.6,2.9,9350,610,4.5,20700,70
Komatsu,PC700,6.6,2.9,9350,610,6,21050,70
Komatsu,PC700,6.6,2.9,9350,610,7.5,15450,70
Komatsu,PC700,6.6,2.9,9350,610,9,12250,70
Komatsu,PC700,6.6,2.9,9350,610,Max,11700,70
Komatsu,PC700,7.3,3.5,9350,610,3,20050,70
Komatsu,PC700,7.3,3.5,9350,610,4.5,24500,70
Komatsu,PC700,7.3,3.5,9350,610,6,20850,70
Komatsu,PC700,7.3,3.5,9350,610,7.5,15150,70
Komatsu,PC700,7.3,3.5,9350,610,9,11900,70
Komatsu,PC700,7.3,3.5,9350,610,Max,10000,70
Komatsu,PC700,7.6,2.9,9350,610,3,27300,70
Komatsu,PC700,7.6,2.9,9350,610,4.5,18400,70
Komatsu,PC700,7.6,2.9,9350,610,6,15050,70
Komatsu,PC700,7.6,2.9,9350,610,7.5,14900,70
Komatsu,PC700,7.6,2.9,9350,610,9,11700,70
Komatsu,PC700,7.6,2.9,9350,610,Max,9350,70
Komatsu,PC850,8.04,3.6,11850,610,3,24450,90
Komatsu,PC850,8.04,3.6,11850,610,4.5,21150,90
Komatsu,PC850,8.04,3.6,11850,610,6,20000,90
Komatsu,PC850,8.04,3.6,11850,610,7.5,14250,90
Komatsu,PC850,8.04,3.6,11850,610,9,10550,90
Komatsu,PC850,8.04,3.6,11850,610,Max,7150,90
Komatsu,PC850-SE,7.1,2.9,11850,610,3,31850,90
Komatsu,PC850-SE,7.1,2.9,11850,610,4.5,31350,90
Komatsu,PC850-SE,7.1,2.9,11850,610,6,22200,90
Komatsu,PC850-SE,7.1,2.9,11850,610,7.5,15300,90
Komatsu,PC850-SE,7.1,2.9,11850,610,9,11350,90
Komatsu,PC850-SE,7.1,2.9,11850,610,Max,9250,90
Komatsu,PC1250,9.1,3.4,16700,700,4.6,41250,120
Komatsu,PC1250,9.1,3.4,16700,700,6.1,37300,120
Komatsu,PC1250,9.1,3.4,16700,700,7.6,30200,120
Komatsu,PC1250,9.1,3.4,16700,700,9.1,24950,120
Komatsu,PC1250,9.1,3.4,16700,700,10.7,20500,120
Komatsu,PC1250,9.1,3.4,16700,700,12.2,17300,120
Komatsu,PC1250,9.1,3.4,16700,700,Max,16750,120
Komatsu,PC1250,9.1,4.5,16700,700,4.6,36350,120
Komatsu,PC1250,9.1,4.5,16700,700,6.1,32350,120
Komatsu,PC1250,9.1,4.5,16700,700,7.6,31000,120
Komatsu,PC1250,9.1,4.5,16700,700,9.1,24100,120
Komatsu,PC1250,9.1,4.5,16700,700,10.7,19750,120
Komatsu,PC1250,9.1,4.5,16700,700,12.2,16850,120
Komatsu,PC1250,9.1,4.5,16700,700,Max,14750,120
Komatsu,PC1250,9.1,5.7,16700,700,6.1,35350,120
Komatsu,PC1250,9.1,5.7,16700,700,7.6,30400,120
Komatsu,PC1250,9.1,5.7,16700,700,9.1,23650,120
Komatsu,PC1250,9.1,5.7,16700,700,10.7,19250,120
Komatsu,PC1250,9.1,5.7,16700,700,12.2,16200,120
Komatsu,PC1250,9.1,5.7,16700,700,13.7,14150,120
Komatsu,PC1250,9.1,5.7,16700,700,Max,11600,120
Komatsu,PC1250,7.8,3.4,16700,700,4.6,59200,120
Komatsu,PC1250,7.8,3.4,16700,700,6.1,42000,120
Komatsu,PC1250,7.8,3.4,16700,700,7.6,33450,120
Komatsu,PC1250,7.8,3.4,16700,700,9.1,26050,120
Komatsu,PC1250,7.8,3.4,16700,700,10.7,21250,120
Komatsu,PC1250,7.8,3.4,16700,700,12.2,N/A,120
Komatsu,PC1250,7.8,3.4,16700,700,Max,19800,120
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,3,14480,50
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,4.5,17050,50
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,6,11900,50
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,7.5,8740,50
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,9,6850,50
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,Max,5940,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,3,17230,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,4.5,17910,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,6,11860,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,7.5,8740,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,9,6900,50
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,Max,6540,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,3,26240,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,4.5,18710,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,6,12260,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,7.5,9050,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,9,N/A,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,Max,7340,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,3,N/A,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,4.5,18510,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,6,12150,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,7.5,9000,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,9,N/A,50
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,Max,7600,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,3,14970,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,4.5,17030,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,6,11850,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,7.5,8710,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,9,6820,50
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,Max,5920,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,3,17960,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,4.5,17600,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,6,11820,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,7.5,8710,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,9,6870,50
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,Max,6520,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,3,26930,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,4.5,18660,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,6,12220,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,7.5,9020,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,9,N/A,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,Max,7320,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,3,N/A,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,4.5,18450,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,6,12110,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,7.5,8970,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,9,N/A,50
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,Max,7570,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,3,24140,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,4.5,20330,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,6,13190,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,7.5,9700,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,9,N/A,50
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,Max,7670,50
Hitachi,ZX490LCH-7,7,3.4,9080,600,3,13320,50
Hitachi,ZX490LCH-7,7,3.4,9080,600,4.5,15200,50
Hitachi,ZX490LCH-7,7,3.4,9080,600,6,12760,50
